source,destination,distance
Peshawar,Rawalpindi,320
Peshawar,Islamabad,340
Rawalpindi,Islamabad,20
Rawalpindi,Faisalabad,280
Rawalpindi,Lahore,380
Rawalpindi,Quetta,640
Islamabad,Rawalpindi,20
Islamabad,Peshawar,340
Faisalabad,Rawalpindi,280
Faisalabad,Lahore,180
Faisalabad,Sialkot,100
Faisalabad,Multan,200
Lahore,Faisalabad,180
Lahore,Rawalpindi,380
Lahore,Sialkot,130
Lahore,Multan,350
Lahore,Karachi,380
Sialkot,Faisalabad,100
Sialkot,Lahore,130
Sialkot,Rawalpindi,220
Multan,Faisalabad,200
Multan,Lahore,350
Multan,Karachi,650
Multan,Quetta,550
Karachi,Multan,650
Karachi,Hyderabad,150
Karachi,Lahore,380
Hyderabad,Karachi,150
Quetta,Multan,550
Quetta,Rawalpindi,640
